,Year,Cluster,Size,Features
151,2008,8.0,109.0,"['pp', 'pp image', 'thumb pp', 'thumb', 'image', 'image photopress', 'jpg thumb', 'photopress', 'photopress jpg', 'jpg']"
152,2008,0.0,930.0,"['google', 'search', 'yahoo', 'results', 'engine', 'deal', 'company', 'ads', 'microsoft', 'search engine']"
153,2008,1.0,732.0,"['game', 'games', 'gamers', 'company', 'world', 'players', 'play', 'time', 'year', 'people']"
154,2008,2.0,12170.0,"['time', 'you', 're', 'phone', 'video', 'people', 'll', 'year', 'thing', 'way']"
155,2008,3.0,302.0,"['ray', 'blu', 'blu ray', 'dvd', 'hd', 'player', 'hd dvd', 'ray player', 'players', 'bd']"
156,2008,4.0,2204.0,"['company', 'round', 'venture', 'capital', 'ventures', 'funding', 'partners', 'investors', 'companies', 'fund']"
157,2008,5.0,3402.0,"['site', 'users', 'facebook', 'company', 'service', 'network', 'video', 'people', 'sites', 'data']"
158,2008,6.0,1381.0,"['apple', 'iphone', 'store', 'app', 'device', 'phone', 'itunes', 'application', 'ipod', 'applications']"
159,2008,7.0,448.0,"['music', 'songs', 'itunes', 'labels', 'partnerup', 'myspace', 'artists', 'service', 'song', 'business']"
160,2008,8.0,109.0,"['pp', 'pp image', 'thumb pp', 'thumb', 'image', 'image photopress', 'jpg thumb', 'photopress', 'photopress jpg', 'jpg']"
161,2008,9.0,353.0,"['twitter', 'service', 'users', 'messages', 'mobilecrunch', 'day', 'tweets', 'friendfeed', 'people', 'post']"
162,2009,0.0,22364.0,"['company', 'users', 'time', 'google', 'twitter', 'people', 'site', 'iphone', 'video', 'apple']"
163,2009,1.0,2756.0,"['game', 'games', 'time', 'play', 'world', 'people', 'gamers', 'players', 'video', 'year']"
164,2009,0.0,2570.0,"['game', 'games', 'time', 'play', 'world', 'people', 'gamers', 'players', 'video', 'year']"
165,2009,1.0,8235.0,"['company', 'users', 'twitter', 'google', 'site', 'facebook', 'service', 'search', 'companies', 'people']"
166,2009,2.0,14315.0,"['apple', 'video', 'iphone', 'time', 'you', 're', 'phone', 'people', 'thing', 'year']"
167,2009,0.0,2564.0,"['game', 'games', 'time', 'play', 'world', 'people', 'players', 'gamers', 'video', 'year']"
168,2009,1.0,14254.0,"['apple', 'video', 'iphone', 'time', 'you', 're', 'phone', 'people', 'com', 'thing']"
169,2009,2.0,4488.0,"['twitter', 'google', 'users', 'facebook', 'search', 'site', 'service', 'people', 'time', 'company']"
170,2009,3.0,3814.0,"['company', 'capital', 'companies', 'venture', 'ventures', 'round', 'partners', 'funding', 'year', 'business']"
171,2009,0.0,13171.0,"['video', 'time', 'you', 're', 'people', 'com', 'thing', 'phone', 'll', 'price']"
172,2009,1.0,1856.0,"['apple', 'iphone', 'app', 'store', 'apps', 'itunes', 'application', 'phone', 'app store', 'developers']"
173,2009,2.0,2519.0,"['game', 'games', 'time', 'play', 'world', 'gamers', 'players', 'people', 'video', 'year']"
174,2009,3.0,3705.0,"['company', 'capital', 'companies', 'venture', 'ventures', 'round', 'partners', 'funding', 'year', 'energy']"
175,2009,4.0,3869.0,"['twitter', 'google', 'users', 'facebook', 'search', 'site', 'service', 'people', 'time', 'data']"
176,2009,0.0,3871.0,"['company', 'capital', 'companies', 'venture', 'ventures', 'round', 'partners', 'funding', 'business', 'year']"
177,2009,1.0,13082.0,"['video', 'time', 'you', 're', 'people', 'com', 'thing', 'phone', 'll', 'price']"
178,2009,2.0,2737.0,"['twitter', 'facebook', 'users', 'site', 'service', 'people', 'myspace', 'company', 'time', 'sites']"
179,2009,3.0,1795.0,"['apple', 'iphone', 'app', 'store', 'apps', 'itunes', 'application', 'phone', 'app store', 'developers']"
180,2009,4.0,2482.0,"['game', 'games', 'time', 'play', 'world', 'gamers', 'players', 'people', 'video', 'year']"
181,2009,5.0,1153.0,"['google', 'search', 'results', 'engine', 'users', 'search engine', 'time', 'yahoo', 'news', 'data']"
182,2009,0.0,13296.0,"['video', 'time', 'you', 're', 'people', 'year', 'thing', 'phone', 'll', 'com']"
183,2009,1.0,2383.0,"['company', 'capital', 'venture', 'ventures', 'round', 'partners', 'companies', 'energy', 'funding', 'investors']"
184,2009,2.0,186.0,"['vimeo', 'vimeo com', 'show', 'com', 'moogaloop', 'swf clip', 'clip id', 'server vimeo', 'byline show', 'title byline']"
185,2009,3.0,1055.0,"['google', 'search', 'results', 'engine', 'users', 'search engine', 'time', 'yahoo', 'twitter', 'news']"
186,2009,4.0,1681.0,"['apple', 'iphone', 'app', 'store', 'apps', 'itunes', 'application', 'phone', 'app store', 'developers']"
187,2009,5.0,2473.0,"['game', 'games', 'time', 'play', 'world', 'players', 'gamers', 'people', 'video', 'year']"
188,2009,6.0,4046.0,"['twitter', 'users', 'facebook', 'site', 'service', 'company', 'people', 'data', 'myspace', 'time']"
189,2009,0.0,11733.0,"['video', 'you', 'time', 're', 'thing', 'people', 'll', 'phone', 'game', 'price']"
190,2009,1.0,2458.0,"['game', 'games', 'time', 'play', 'world', 'gamers', 'players', 'people', 'video', 'story']"
191,2009,2.0,162.0,"['vimeo', 'vimeo com', 'show', 'com', 'server vimeo', 'id server', 'show portrait', 'portrait color', 'title byline', 'byline show']"
192,2009,3.0,1137.0,"['capital', 'ventures', 'venture', 'round', 'partners', 'company', 'funding', 'fund', 'round funding', 'investors']"
193,2009,4.0,1706.0,"['apple', 'iphone', 'app', 'store', 'apps', 'itunes', 'application', 'app store', 'phone', 'developers']"
194,2009,5.0,5234.0,"['company', 'site', 'users', 'companies', 'business', 'service', 'year', 'data', 'people', 'time']"
195,2009,6.0,1591.0,"['twitter', 'facebook', 'users', 'site', 'people', 'service', 'tweets', 'time', 'friends', 'myspace']"
196,2009,7.0,1099.0,"['google', 'search', 'results', 'engine', 'users', 'search engine', 'time', 'news', 'people', 'yahoo']"
